mu10,mu01,p,theta,sources,greedy_set,greedy,opt_set,opt,diff
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[2132, 130, 481, 1348, 3064, 2871, 86]","Set([481, 1348, 2132])",0.11147784066401978,"Set([2871, 1348, 3064])",0.12181760754177562,0.09275176856823591
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[2132, 130, 481, 1348, 3064, 2871, 86]","Set([481, 1348, 2132, 3064])",0.24407161594032378,"Set([481, 2871, 1348, 3064])",0.257455134647523,0.054834392174760445
0.0875031539561672,0.10248665990470492,0.751303158905281,0.913829670704444,"[2924, 2217, 654, 97, 2972, 3306]","Set([2217, 2972])",0.06337762892174836,"Set([2924, 2972])",0.065360785024565,0.031291105971559936
0.0875031539561672,0.10248665990470492,0.751303158905281,0.913829670704444,"[2924, 2217, 654, 97, 2972, 3306]","Set([2924, 2217, 2972])",0.10996575030236388,"Set([2924, 2972, 3306])",0.11819107315796407,0.07479895179165949
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3159, 3050, 2836, 1220, 104, 3762, 3916]","Set([3159, 104, 1220])",0.11921604609063041,"Set([2836, 1220, 3050])",0.1251255180146561,0.049569433963052176
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3159, 3050, 2836, 1220, 104, 3762, 3916]","Set([3159, 104, 1220, 3050])",0.2729931034348523,"Set([3159, 2836, 1220, 3050])",0.28405200075867687,0.04050980477044803
0.05193040227965584,0.19478064660316252,0.8988720287587109,0.9479463014166397,"[2482, 5, 3807, 2215, 1653, 3341]","Set([5, 2215, 1653, 3341])",0.19637331948245618,"Set([2482, 2215, 1653, 3341])",0.20125518257842334,0.024860113934180892
0.10600209725974492,0.019692839119992558,0.8076378618394562,0.9996752883218913,"[3618, 1951, 818, 3144, 1245, 3795]","Set([3618, 1951, 1245, 3144])",0.005300119509569101,"Set([3618, 3144, 1245, 3795])",0.005373841180568495,0.013909435601648784
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3977, 653, 139, 2200, 2828, 2420, 1004]","Set([1004, 2828])",0.043826117777247764,"Set([2420, 2200])",0.04496671688634235,0.0260255566074056
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3977, 653, 139, 2200, 2828, 2420, 1004]","Set([2200, 1004, 2828])",0.12259188387785869,"Set([2420, 2200, 1004])",0.13050747193246914,0.06456861420366908
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[1889, 2173, 3090, 2151, 2654, 3931, 281]","Set([3090, 2173, 2654, 281, 1889])",0.44321591778674196,"Set([3090, 2173, 2654, 1889, 2151])",0.4483754388812716,0.011641100618169179
0.0018580860097491547,0.07326447648239098,0.9361036065745557,0.6362791333036145,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1526, 2141])",0.47345345088294477,"Set([1456, 1526])",0.5122650431476345,0.08197551880192218
