mu10,mu01,p,theta,sources,greedy_set,greedy,opt_set,opt,diff
0.1787161041484021,0.05972241755852872,0.5685482847418142,0.9947411262192873,"[3017, 2248, 3217, 316, 3596, 3962, 138]","Set([316, 3217, 2248])",0.0032854834094064866,"Set([3217, 3017, 2248])",0.0034169311248681833,0.040008637719903234
0.43893099648209544,0.4056370964045075,0.8454577271164276,0.9226410795748239,"[2648, 1883, 1059, 3226, 588, 3934, 2706]","Set([3934, 2706, 1883, 2648])",0.00032031488604145064,"Set([3226, 2706, 1883, 2648])",0.00034313002247410296,0.07122721243027058
0.3849620783181645,0.49880089359584806,0.6224154879135294,0.5748754481399555,"[307, 810, 2609, 1354, 3091, 2978, 2008]","Set([3091, 2978, 2609, 2008])",0.0009036086536095,"Set([3091, 2978, 810, 307, 2609, 2008])",0.0010072900216352432,0.11474145097170535
0.016702189961899094,0.10197319346160069,0.6386118852453295,0.9718442678043292,"[3574, 792, 2972, 3250, 2041, 2633, 2810]","Set([2633, 2041])",0.07237959899566893,"Set([2810, 3250])",0.07358108792717621,0.016599828517690235
0.016702189961899094,0.10197319346160069,0.6386118852453295,0.9718442678043292,"[3574, 792, 2972, 3250, 2041, 2633, 2810]","Set([2810, 2633, 2041])",0.11747668443657022,"Set([2810, 3250, 2972])",0.13267582084201457,0.12938002530749745
0.016702189961899094,0.10197319346160069,0.6386118852453295,0.9718442678043292,"[3574, 792, 2972, 3250, 2041, 2633, 2810]","Set([2810, 2633, 2041, 2972])",0.178679842920758,"Set([2810, 3250, 2041, 2972])",0.18742868389117895,0.04896378252526746
0.09386547281432159,0.05905722653266446,0.9256350398610667,0.8452032420897713,"[2854, 3683, 135, 2153, 725, 2781, 3064]","Set([2153, 2781])",0.10514587107442708,"Set([2781, 2854])",0.11469095221006587,0.09077941946842917
0.09386547281432159,0.05905722653266446,0.9256350398610667,0.8452032420897713,"[2854, 3683, 135, 2153, 725, 2781, 3064]","Set([2153, 2781, 2854])",0.21420645240961178,"Set([2781, 2854, 3064])",0.23265441613036764,0.08612235305348843
0.3857261502797026,0.4787116592843882,0.5744176974003414,0.5208562497010558,"[1168, 2275, 3271, 1192, 993, 1761, 3137]","Set([3271, 993, 3137, 1192, 1168])",0.0007689277753807344,"Set([1761, 2275, 993, 3137, 1192])",0.0008000129041766391,0.04042659114571956
0.14512312303410366,0.08907612823863462,0.9946721466804561,0.9545630525524177,"[2856, 2846, 3225, 2050, 1005, 936, 1956]","Set([2050, 936, 1005, 3225, 1956])",0.22998300062595534,"Set([936, 2856, 3225, 1005, 2846])",0.2452037524277112,0.06618207328510733
0.14512312303410366,0.08907612823863462,0.9946721466804561,0.9545630525524177,"[2856, 2846, 3225, 2050, 1005, 936, 1956]","Set([2050, 936, 1005, 3225, 2846, 1956])",0.3267507519905173,"Set([936, 2856, 3225, 1005, 2846, 1956])",0.33982568879661934,0.04001501672590338
0.034352167989111615,0.0270466837302501,0.9365874813798443,0.7008064465422552,"[3247, 2725, 2928, 685, 993, 2780, 628]","Set([2928, 993, 628])",0.2588872695487364,"Set([993, 2725, 2928])",0.27301402448678147,0.054567205883353176
0.034352167989111615,0.0270466837302501,0.9365874813798443,0.7008064465422552,"[3247, 2725, 2928, 685, 993, 2780, 628]","Set([2928, 993, 2725, 628])",0.541309996055516,"Set([2780, 993, 2725, 2928])",0.5582098494712495,0.031220286968431113
0.10616827475789625,0.1772910949033379,0.9561662914686266,0.9909850083090468,"[2795, 157, 2879, 3077, 3093, 1156, 538]","Set([3077, 1156, 538])",0.02379788934477034,"Set([2795, 3077, 1156])",0.024862010198251516,0.04471492568373591
0.10616827475789625,0.1772910949033379,0.9561662914686266,0.9909850083090468,"[2795, 157, 2879, 3077, 3093, 1156, 538]","Set([2795, 3077, 1156, 538])",0.04005724314096082,"Set([2795, 3077, 2879, 3093])",0.04729192601477139,0.18060860674689555
0.10616827475789625,0.1772910949033379,0.9561662914686266,0.9909850083090468,"[2795, 157, 2879, 3077, 3093, 1156, 538]","Set([2795, 3077, 1156, 3093, 538])",0.06537183626234211,"Set([2795, 3077, 2879, 3093, 1156])",0.0754291935096475,0.15384847393523496
0.47576504557704347,0.4205439280616575,0.5586557716790757,0.8397601974258562,"[3715, 2014, 3363, 308, 588, 3225, 3038]","Set([3715, 3225, 3363])",0.00016014590495905257,"Set([3715, 3038, 3225, 3363, 308, 588])",0.00017103849205668542,0.06801664457432091
0.4568429556633297,0.32857578371079693,0.658057130116549,0.8381608334166586,"[2321, 1484, 65, 3642, 1569, 3668, 540]","Set([1569, 3668, 1484, 2321, 540])",0.001209225104382372,"Set([1569, 3668, 1484, 3642, 540])",0.0012372954427886107,0.023213492925765817
0.0325343497255875,0.0010880220235975069,0.7674781256240348,0.9593358242704673,"[328, 2431, 2079, 2562, 1784, 2684, 450]","Set([328, 2562, 2684, 1784, 2079, 450])",0.5457932582949737,"Set([2562, 2431, 2684, 1784, 2079, 450])",0.5522179112202106,0.011771220746308049
0.4063296724716251,0.31587057462656876,0.5956949658310364,0.7301424628076028,"[1511, 2054, 3919, 2585, 1926, 2739, 3801]","Set([3801, 3919, 1926, 2054, 2739, 2585])",0.00523395341248456,"Set([3801, 3919, 1926, 1511, 2054, 2739])",0.005484334993829387,0.04783794612072619
0.1367120571842983,0.013212027262777315,0.9569543897356008,0.8693568126264766,"[693, 1472, 277, 3244, 943, 2835, 3949]","Set([943, 3949, 1472, 3244])",0.2850001726398722,"Set([2835, 943, 1472, 3244])",0.2971661989170912,0.04268778564071968
0.2445129831188364,0.19743922157540647,0.9855893403697842,0.6725270468566873,"[645, 2221, 72, 2183, 2473, 2687, 130]","Set([2221, 2687])",0.04904951768767707,"Set([2473, 2221])",0.051517906778441036,0.050324431454789036
0.23820375809351318,0.05172632954421755,0.9659186119157943,0.9618727908643552,"[319, 1045, 994, 132, 2589, 918, 2194]","Set([1045, 918, 994, 319, 2589, 2194])",0.18659108529504642,"Set([1045, 918, 994, 319, 2589, 132])",0.18971440332007294,0.016738838407460828
0.34933107490981263,0.42929889292053686,0.865120484009705,0.7045965657175883,"[2521, 3064, 3482, 1527, 3823, 599, 2105]","Set([3482, 2105, 3823, 2521, 1527])",0.004935997550176374,"Set([2105, 3823, 2521, 1527, 3064])",0.004990413076229716,0.011024220636292149
0.20668204074680063,0.4723395131674728,0.8911891239660099,0.9515848884767328,"[1245, 1285, 2641, 3073, 1054, 1692, 3577]","Set([1054, 1285, 2641, 1245, 1692])",0.003950684002284821,"Set([3073, 1285, 2641, 1245, 1692])",0.004058987654463775,0.027413898989723785
0.051933417000440685,0.22341250961359055,0.6824120931917912,0.9892536746958467,"[3206, 2247, 2057, 1827, 687, 1968, 3990]","Set([2247, 1827, 1968])",0.02459378935483081,"Set([2057, 2247, 1968])",0.025746705760164024,0.046878355697828035
0.13115520966875627,0.0008700692411914845,0.9010922049661005,0.9009318396616206,"[671, 2968, 3265, 1646, 2951, 3563, 3112]","Set([3563, 1646, 671])",0.08010197394397922,"Set([2951, 3112, 1646])",0.08110815047709885,0.012561195231260059
0.13115520966875627,0.0008700692411914845,0.9010922049661005,0.9009318396616206,"[671, 2968, 3265, 1646, 2951, 3563, 3112]","Set([3563, 3112, 1646, 671])",0.14775333803670476,"Set([3265, 2951, 3112, 1646])",0.1624153392096278,0.09923296060682381
0.13115520966875627,0.0008700692411914845,0.9010922049661005,0.9009318396616206,"[671, 2968, 3265, 1646, 2951, 3563, 3112]","Set([3265, 3563, 3112, 1646, 671])",0.2642967344051116,"Set([3265, 2951, 2968, 3112, 1646])",0.32097409738825133,0.2144459450500255
0.13115520966875627,0.0008700692411914845,0.9010922049661005,0.9009318396616206,"[671, 2968, 3265, 1646, 2951, 3563, 3112]","Set([3265, 3563, 2968, 3112, 1646, 671])",0.4722164530725591,"Set([3265, 2951, 2968, 3112, 671, 1646])",0.5437659759257387,0.15151848773508442
0.4051186699352616,0.4845538882245904,0.8630226709747475,0.9240474066309459,"[1325, 3802, 509, 2575, 2230, 3562, 3821]","Set([3562, 509, 2230, 1325, 2575])",0.0003016403191359318,"Set([3821, 509, 2230, 1325, 2575])",0.0003187254208885104,0.05664064340443605
0.07409112525469688,0.029862393104349516,0.5259269388335132,0.9041301511931599,"[2279, 3574, 4019, 2591, 1644, 419, 3016]","Set([1644, 3016, 2591])",0.09539645402588226,"Set([2279, 1644, 2591])",0.10086896885950081,0.057366019413402775
0.1518893188090777,0.11508711387316117,0.5095441838944877,0.9797682594449141,"[487, 3856, 3838, 1300, 1010, 3828, 3881]","Set([1300, 487, 1010, 3881, 3856])",0.012294100568028488,"Set([3838, 1300, 1010, 3881, 3856])",0.012668102724955221,0.03042127033671319
0.1518893188090777,0.11508711387316117,0.5095441838944877,0.9797682594449141,"[487, 3856, 3838, 1300, 1010, 3828, 3881]","Set([3838, 1300, 487, 1010, 3881, 3856])",0.014709753328233655,"Set([3838, 1300, 1010, 3828, 3881, 3856])",0.015324632598743615,0.04180078732726071
